,time
66087,2548.6520030740767
66088,2548.6533919940125
66089,2548.654780913949
66090,2548.656169833885
66091,2548.657558754287
66092,2548.6589476742233
66093,2548.6603365941596
66094,2548.661725514095
66095,2548.663114434497
66096,2548.6645033544332
66097,2548.6658922743695
66098,2548.667281194305
66099,2548.6686701142416
66100,2548.6700590341784
66101,2548.6714479545803
66102,2548.6728368745166
66103,2548.674225794453
66104,2548.675614714389
66105,2548.6770036343255
66106,2548.678392554261
66107,2548.679781474197
66108,2548.6811703941335
66109,2548.6825593140697
66110,2548.683948234006
66111,2548.6853371539423
66112,2548.6867260738777
66113,2548.688114993814
66114,2548.6895039137503
66115,2548.6908928336866
66116,2548.6922817536224
66117,2548.6936706735587
66118,2548.6950595934954
66119,2548.696448513431
66120,2548.6978374333667
66121,2548.6992263533034
66122,2548.7006152732406
66123,2548.702004193177
66124,2548.7033931126466
66125,2548.704782032583
66126,2548.706170952519
66127,2548.7075598724555
66128,2548.7089487923918
66129,2548.710337712328
66130,2548.7117266317982
66131,2548.713115551734
66132,2548.7145044716704
66133,2548.7158933916066
66134,2548.7172823110773
66135,2548.7186712310126
66136,2548.720060150949
66137,2548.7214490708852
66138,2548.722837990356
66139,2548.724226910292
66140,2548.7256158302284
66141,2548.727004749698
66142,2548.728393669635
66143,2548.729782589572
66144,2548.7311715090427
66145,2548.7325604289786
66146,2548.733949348915
66147,2548.7353382683855
66148,2548.7367271883218
66149,2548.738116108257
66150,2548.739505027728
66151,2548.740893947664
66152,2548.7422828671347
66153,2548.74367178707
66154,2548.7450607065407
66155,2548.746449626477
66156,2548.7478385459476
66157,2548.749227465884
66158,2548.7506163853545
66159,2548.7520053052904
66160,2548.7533942247605
66161,2548.754783144697
66162,2548.7561720641675
66163,2548.7575609841037
66164,2548.7589499035753
66165,2548.760338823046
66166,2548.761727742982
66167,2548.763116662452
66168,2548.764505582388
66169,2548.765894501859
66170,2548.7672834213295
66171,2548.768672341265
66172,2548.770061260736
66173,2548.7714501802066
66174,2548.7728391001424
66175,2548.774228019613
66176,2548.7756169390836
66177,2548.77700585902
66178,2548.7783947784897
66179,2548.7797836979603
66180,2548.781172617431
66181,2548.7825615369015
66182,2548.783950456838
66183,2548.785339376309
66184,2548.78672829578
66185,2548.7881172152497
66186,2548.789506134721
66187,2548.790895054657
66188,2548.7922839741273
66189,2548.793672893597
66190,2548.795061813068
66191,2548.796450732539
66192,2548.797839652009
66193,2548.7992285714795
66194,2548.80061749095
66195,2548.8020064108864
66196,2548.803395330356
66197,2548.8047842498268
66198,2548.8061731692974
66199,2548.807562088768
66200,2548.8089510082386
66201,2548.8103399277093
66202,2548.8117288471794
66203,2548.8131177666496
66204,2548.814506686121
66205,2548.8158956055927
66206,2548.8172845250624
66207,2548.8186734440665
66208,2548.8200623635375
66209,2548.8214512830086
66210,2548.8228402024783
66211,2548.824229121949
66212,2548.8256180414196
66213,2548.8270069608902
66214,2548.82839588036
66215,2548.829784799831
66216,2548.831173718836
66217,2548.832562638306
66218,2548.833951557777
66219,2548.8353404772474
66220,2548.836729396718
66221,2548.838118315722
66222,2548.8395072351927
66223,2548.8408961546634
66224,2548.842285074134
66225,2548.843673993139
66226,2548.84506291261
66227,2548.846451832081
66228,2548.847840751551
66229,2548.8492296705563
66230,2548.850618590027
66231,2548.852007509497
66232,2548.853396428501
66233,2548.854785347972
66234,2548.8561742669776
66235,2548.8575631864474
66236,2548.858952105918
66237,2548.860341024923
66238,2548.8617299443936
66239,2548.8631188633976
66240,2548.8645077828683
66241,2548.865896702339
66242,2548.867285621344
66243,2548.8686745408136
66244,2548.8700634598185
66245,2548.87145237929
66246,2548.872841298295
66247,2548.874230217766
66248,2548.8756191367715
66249,2548.8770080562413
66250,2548.8783969752453
66251,2548.8797858942507
66252,2548.881174813722
66253,2548.882563732726
66254,2548.8839526521965
66255,2548.8853415712015
66256,2548.8867304902064
66257,2548.888119409676
66258,2548.8895083286816
66259,2548.8908972476866
66260,2548.8922861671567
66261,2548.893675086161
66262,2548.895064005166
66263,2548.896452924637
66264,2548.8978418436413
66265,2548.8992307626463
66266,2548.900619682118
66267,2548.902008601123
66268,2548.9033975201273
66269,2548.9047864391323
66270,2548.9061753581377
66271,2548.9075642776074
66272,2548.908953196613
66273,2548.910342115618
66274,2548.9117310346223
66275,2548.9131199536264
66276,2548.9145088730975
66277,2548.915897792103
66278,2548.917286711107
66279,2548.918675630111
66280,2548.9200645491164
66281,2548.921453468122
66282,2548.922842387126
66283,2548.924231306131
66284,2548.925620225136
66285,2548.927009144141
66286,2548.928398063145
66287,2548.9297869821507
66288,2548.9311759011566
66289,2548.9325648201607
66290,2548.933953739166
66291,2548.9353426581715
66292,2548.9367315771756
66293,2548.9381204961796
66294,2548.939509415185
66295,2548.9408983341905
66296,2548.9422872531945
66297,2548.943676172199
66298,2548.945065091204
66299,2548.9464540102094
66300,2548.9478429292135
66301,2548.949231848219
66302,2548.950620766758
66303,2548.9520096857627
66304,2548.953398604767
66305,2548.954787523772
66306,2548.956176442777
66307,2548.9575653613165
66308,2548.9589542803224
66309,2548.960343199328
66310,2548.961732118332
66311,2548.9631210373364
66312,2548.9645099558757
66313,2548.965898874881
66314,2548.967287793885
66315,2548.9686767124244
66316,2548.9700656314294
66317,2548.9714545504344
66318,2548.9728434689728
66319,2548.974232387978
66320,2548.9756213069836
66321,2548.977010225522
66322,2548.978399144526
66323,2548.9797880635315
66324,2548.9811769820712
66325,2548.9825659010753
66326,2548.9839548196146
66327,2548.9853437386196
66328,2548.9867326571593
66329,2548.9881215761648
66330,2548.9895104951697
66331,2548.990899413709
66332,2548.992288332713
66333,2548.9936772512524
66334,2548.9950661702574
66335,2548.9964550887967
66336,2548.997844007335
66337,2548.9992329263405
66338,2549.0006218448802
66339,2549.0020107638843
66340,2549.003399682423
66341,2549.004788601428
66342,2549.006177519968
66343,2549.0075664385063
66344,2549.0089553575117
66345,2549.010344276051
66346,2549.01173319459
66347,2549.013122113594
66348,2549.0145110321337
66349,2549.015899950674
66350,2549.017288869679
66351,2549.018677788218
66352,2549.020066706758
66353,2549.0214556252963
66354,2549.022844544301
66355,2549.02423346284
66356,2549.02562238138
66357,2549.0270112999183
66358,2549.0284002189233
66359,2549.0297891374626
66360,2549.031178056002
66361,2549.0325669745403
66362,2549.03395589308
66363,2549.03534481162
66364,2549.036733730624
66365,2549.0381226491622
66366,2549.039511567702
66367,2549.0409004862418
66368,2549.04228940478
